Date,Spotify Streams,Change
"Sep 20, 2022",0,0
"Sep 21, 2022",135,135
"Sep 22, 2022",226,91
"Sep 23, 2022",294,68
"Sep 24, 2022",350,56
"Sep 25, 2022",397,147
"Sep 26, 2022",437,60
"Sep 27, 2022",474,37
"Sep 28, 2022",507,30
"Sep 29, 2022",537,30
"Sep 30, 2022",566,29
"Oct 1, 2022",594,28
"Oct 2, 2022",621,27
"Oct 3, 2022",648,27
"Oct 4, 2022",674,26
"Oct 5, 2022",701,27
"Oct 6, 2022",727,26
"Oct 7, 2022",755,28
"Oct 8, 2022",782,27
"Oct 9, 2022",811,29
"Oct 10, 2022",840,29
"Oct 11, 2022",871,31
"Oct 12, 2022",903,32
"Oct 13, 2022",935,32
"Oct 14, 2022",970,35
"Oct 15, 2022",1005,35
"Oct 16, 2022",1042,37
"Oct 17, 2022",1081,39
"Oct 18, 2022",1122,41
"Oct 19, 2022",1164,42
"Oct 20, 2022",1208,44
"Oct 21, 2022",1254,36
"Oct 22, 2022",1303,49
"Oct 23, 2022",1353,50
"Oct 24, 2022",1406,53
"Oct 25, 2022",1461,55
"Oct 26, 2022",1518,57
"Oct 27, 2022",1578,60
"Oct 28, 2022",1640,62
"Oct 29, 2022",1705,65
"Oct 30, 2022",1773,68
"Oct 31, 2022",1844,71
"Nov 1, 2022",1918,74
"Nov 2, 2022",1995,77
"Nov 3, 2022",2075,80
"Nov 4, 2022",2159,84
"Nov 5, 2022",2246,87
"Nov 6, 2022",2337,91
"Nov 7, 2022",2431,94
"Nov 8, 2022",2530,109
"Nov 9, 2022",2632,102
"Nov 10, 2022",2739,107
"Nov 11, 2022",2850,111
"Nov 12, 2022",2966,116
"Nov 13, 2022",3087,121
"Nov 14, 2022",3212,225
"Nov 15, 2022",3343,131
"Nov 16, 2022",3403,60
"Nov 17, 2022",3463,60
"Nov 18, 2022",3523,60
"Nov 19, 2022",3583,60
"Nov 20, 2022",3643,60
"Nov 21, 2022",3703,60
"Nov 22, 2022",3763,60
"Nov 23, 2022",3823,60
